subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	5	4	92	10	short	switch	1	0	0	3	[1.6638977635782748]	['E' 'V' 'O' 'D']	['O' 'E' 'V' 'P']
01	5	5	125	10	short	switch	0	1	0	4	[]	['D' 'O' 'P' 'G']	['G' 'V' 'O' 'D']
01	5	6	139	10	short	switch	0	0	1	3	[2.7778487752928647]	['P' 'E' 'G' 'V']	['E' 'O' 'V' 'O']
01	5	7	61	10	long	maint	1	0	1	2	[0.5911935774555583, 2.424076349635455]	['O' 'P' 'V' 'E']	['P' 'V' 'O' 'G']
01	5	8	57	10	short	maint	1	0	0	3	[2.60942082411731]	['D' 'G' 'E' 'O']	['G' 'O' 'V' 'P']
01	5	9	64	10	long	maint	1	0	0	3	[1.062685344474482]	['V' 'O' 'E' 'P']	['G' 'E' 'P' 'O']
01	5	10	50	10	short	maint	2	0	0	2	[0.7547063160481691, 2.1166298025722945]	['O' 'D' 'O' 'P']	['E' 'P' 'G' 'V']
01	5	11	120	10	short	switch	2	0	0	2	[0.679053002375686, 2.1409191447530107]	['O' 'P' 'O' 'G']	['P' 'V' 'D' 'E']
01	5	12	19	10	short	maint	0	0	0	4	[]	['E' 'P' 'G' 'V']	['O' 'E' 'O' 'D']
01	5	13	57	20	short	maint	1	0	0	3	[2.585336282460883]	['D' 'G' 'E' 'O']	['G' 'O' 'V' 'P']
01	5	14	125	20	short	switch	1	0	0	3	[1.2292700909314327]	['D' 'O' 'P' 'G']	['G' 'V' 'O' 'D']
01	5	15	150	10	long	switch	1	0	0	3	[2.325239616613419]	['D' 'V' 'O' 'P']	['O' 'D' 'V' 'G']
01	5	16	87	20	short	switch	2	0	0	2	[0.544949619071025, 1.7176374211517982]	['O' 'P' 'O' 'E']	['E' 'V' 'D' 'P']
01	5	17	2	20	short	maint	2	0	0	2	[1.1362906529040715, 1.996944376177603]	['P' 'O' 'E' 'O']	['E' 'V' 'D' 'P']
01	5	18	36	20	long	maint	1	0	0	3	[1.6889243876464324]	['P' 'G' 'O' 'D']	['O' 'E' 'P' 'G']
01	5	19	19	20	short	maint	0	0	0	4	[]	['E' 'P' 'G' 'V']	['O' 'E' 'O' 'D']
01	5	20	150	20	long	switch	1	0	0	3	[2.2253788809699353]	['D' 'V' 'O' 'P']	['O' 'D' 'V' 'G']
01	5	21	30	20	long	maint	1	0	0	3	[1.6505038092897517]	['P' 'G' 'O' 'E']	['O' 'P' 'V' 'D']
01	5	22	30	10	long	maint	1	0	0	3	[1.6876136642909807]	['P' 'G' 'O' 'E']	['O' 'P' 'V' 'D']
01	5	23	87	10	short	switch	2	0	0	2	[0.5910297370361268, 1.7210371098550015]	['O' 'P' 'O' 'E']	['E' 'V' 'D' 'P']
01	5	24	98	10	short	switch	1	0	1	2	[0.9194068976816583, 1.9696649463422626]	['G' 'E' 'D' 'O']	['P' 'O' 'G' 'D']
01	5	25	98	20	short	switch	1	0	0	3	[2.170000819202097]	['G' 'E' 'D' 'O']	['P' 'O' 'G' 'D']
01	5	26	120	20	short	switch	2	0	0	2	[0.43833046612599347, 2.111468829360203]	['O' 'P' 'O' 'G']	['P' 'V' 'D' 'E']
01	5	27	50	20	short	maint	2	0	0	2	[0.5380273613500453, 2.107413778979274]	['O' 'D' 'O' 'P']	['E' 'P' 'G' 'V']
01	5	28	92	20	short	switch	1	0	0	3	[1.6898664700581634]	['E' 'V' 'O' 'D']	['O' 'E' 'V' 'P']
01	5	29	84	10	short	switch	1	1	0	3	[0.9890800360448924]	['P' 'O' 'E' 'O']	['V' 'P' 'G' 'D']
01	5	30	36	10	long	maint	1	0	0	3	[1.5762840992872942]	['P' 'G' 'O' 'D']	['O' 'E' 'P' 'G']
01	5	31	2	10	short	maint	0	2	0	4	[]	['P' 'O' 'E' 'O']	['E' 'V' 'D' 'P']
01	6	0	154	10	long	switch	1	0	1	2	[1.327000901122307, 2.131744081264848]	['P' 'V' 'O' 'G']	['G' 'O' 'V' 'P']
01	6	1	21	10	long	maint	2	0	0	2	[0.8336773982141397, 2.1142541164905384]	['O' 'P' 'E' 'O']	['V' 'D' 'G' 'P']
01	6	2	20	10	long	maint	1	0	0	3	[0.5447857786515935]	['O' 'D' 'E' 'G']	['E' 'G' 'O' 'V']
01	6	3	146	10	long	switch	2	0	0	2	[0.8818464815269929, 2.0459326615876137]	['G' 'O' 'O' 'D']	['P' 'G' 'D' 'E']
01	6	4	78	10	long	maint	1	0	1	2	[0.9038010977308102, 2.5744408945686903]	['V' 'E' 'G' 'O']	['E' 'O' 'V' 'G']
